!29al -> 29si, beta-decay
!Q=3.68 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00       -2.769000            -8.440290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00       -2.768000            -8.440290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00       -2.768000            -8.440290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00       -2.768000            -8.440290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00       -2.767999            -8.440290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00       -2.768978            -8.440290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00       -2.768612            -8.439290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00       -2.765973            -8.432290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -2.724948            -8.342290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -2.378561            -7.771290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -1.114787            -6.262290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.368341            -3.319290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00       -2.769000            -8.440290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00       -2.769000            -8.440290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00       -2.769000            -8.440290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00       -2.769000            -8.440290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00       -2.769000            -8.440290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00       -2.768979            -8.440290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00       -2.768613            -8.439290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00       -2.765978            -8.432290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -2.724948            -8.342290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -2.378561            -7.771290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -1.114787            -6.262290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.368341            -3.319290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00       -2.769000            -8.440290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00       -2.769000            -8.440290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00       -2.769000            -8.440290             -100.00  
