 pos. daughter  O 17 z= 8 a=17 Q=  2.762
        T9     RHOYE        UF     E+DEC     E-CAP      NEUE     E-DEC     E+CAP   NEUEBAR
      0.01       1.0     0.508    -1.986    -6.614    -1.986  -100.000  -100.000  -100.000
      0.10       1.0     0.453    -1.986    -7.064    -1.986  -100.000  -100.000  -100.000
      0.20       1.0     0.377    -1.986    -7.167    -1.986  -100.000   -72.639   -73.918
      0.40       1.0     0.205    -1.986    -7.247    -1.986   -71.615   -36.441   -37.413
      0.70       1.0     0.008    -1.986    -6.650    -1.986   -41.407   -21.007   -21.727
      1.00       1.0     0.000    -1.986    -5.347    -1.986   -29.323   -15.597   -16.154
      1.50       1.0     0.000    -1.987    -4.173    -1.980   -19.925   -11.237   -11.605
      2.00       1.0     0.000    -1.991    -3.495    -1.952   -15.228    -8.922    -9.154
      3.00       1.0     0.000    -2.003    -2.671    -1.769   -10.535    -6.410    -6.446
      5.00       1.0     0.000    -2.037    -1.736    -1.082    -6.802    -4.070    -3.855
     10.00       1.0     0.000    -1.907    -0.478     0.298    -4.061    -1.725    -1.163
     30.00       1.0     0.000    -0.569     1.716     2.873    -2.367     1.202     2.291
      0.01       2.0     0.510    -1.986    -5.635    -1.986  -100.000  -100.000  -100.000
      0.10       2.0     0.473    -1.986    -6.064    -1.986  -100.000  -100.000  -100.000
      0.20       2.0     0.416    -1.986    -6.168    -1.986  -100.000   -73.639   -74.919
      0.40       2.0     0.284    -1.986    -6.247    -1.986   -71.615   -37.441   -38.413
      0.70       2.0     0.065    -1.986    -6.237    -1.986   -41.407   -21.420   -22.140
      1.00       2.0     0.005    -1.986    -5.325    -1.986   -29.323   -15.619   -16.176
      1.50       2.0     0.000    -1.987    -4.172    -1.980   -19.925   -11.238   -11.607
      2.00       2.0     0.000    -1.991    -3.494    -1.952   -15.228    -8.923    -9.155
      3.00       2.0     0.000    -2.003    -2.671    -1.769   -10.535    -6.410    -6.446
      5.00       2.0     0.000    -2.037    -1.736    -1.082    -6.802    -4.070    -3.855
     10.00       2.0     0.000    -1.907    -0.478     0.298    -4.061    -1.725    -1.163
     30.00       2.0     0.000    -0.569     1.716     2.873    -2.367     1.202     2.291
      0.01       3.0     0.513    -1.986    -4.762    -1.984  -100.000  -100.000  -100.000
      0.10       3.0     0.493    -1.986    -5.069    -1.985  -100.000  -100.000  -100.000
      0.20       3.0     0.456    -1.986    -5.169    -1.985  -100.000   -74.645   -75.924
      0.40       3.0     0.364    -1.986    -5.248    -1.985   -71.615   -38.443   -39.415
      0.70       3.0     0.197    -1.986    -5.290    -1.985   -41.407   -22.368   -23.089
      1.00       3.0     0.046    -1.986    -5.120    -1.985   -29.323   -15.825   -16.382
      1.50       3.0     0.005    -1.987    -4.157    -1.979   -19.925   -11.253   -11.621
      2.00       3.0     0.001    -1.991    -3.491    -1.952   -15.228    -8.926    -9.158
      3.00       3.0     0.000    -2.003    -2.670    -1.768   -10.535    -6.410    -6.447
      5.00       3.0     0.000    -2.037    -1.736    -1.082    -6.802    -4.070    -3.855
     10.00       3.0     0.000    -1.907    -0.478     0.298    -4.061    -1.725    -1.163
     30.00       3.0     0.000    -0.569     1.716     2.873    -2.367     1.202     2.291
      0.01       4.0     0.523    -1.986    -4.027    -1.975  -100.000  -100.000  -100.000
      0.10       4.0     0.516    -1.986    -4.111    -1.977  -100.000  -100.000  -100.000
      0.20       4.0     0.498    -1.986    -4.183    -1.978  -100.000   -75.700   -76.979
      0.40       4.0     0.444    -1.986    -4.251    -1.979   -71.615   -39.460   -40.433
      0.70       4.0     0.337    -1.986    -4.291    -1.980   -41.407   -23.374   -24.095
      1.00       4.0     0.209    -1.986    -4.301    -1.980   -29.323   -16.647   -17.204
      1.50       4.0     0.047    -1.987    -4.016    -1.976   -19.926   -11.395   -11.763
      2.00       4.0     0.014    -1.991    -3.460    -1.949   -15.228    -8.957    -9.189
      3.00       4.0     0.004    -2.003    -2.665    -1.766   -10.536    -6.416    -6.452
      5.00       4.0     0.001    -2.037    -1.735    -1.081    -6.802    -4.071    -3.855
     10.00       4.0     0.000    -1.907    -0.478     0.298    -4.061    -1.726    -1.163
     30.00       4.0     0.000    -0.569     1.716     2.873    -2.367     1.202     2.291
      0.01       5.0     0.564    -1.986    -3.237    -1.923  -100.000  -100.000  -100.000
      0.10       5.0     0.563    -1.986    -3.241    -1.923  -100.000  -100.000  -100.000
      0.20       5.0     0.558    -1.986    -3.252    -1.924  -100.000   -77.203   -78.482
      0.40       5.0     0.537    -1.986    -3.276    -1.927   -71.616   -40.631   -41.604
      0.70       5.0     0.485    -1.986    -3.299    -1.929   -41.408   -24.441   -25.161
      1.00       5.0     0.413    -1.986    -3.308    -1.929   -29.325   -17.678   -18.235
      1.50       5.0     0.265    -1.987    -3.298    -1.928   -19.927   -12.128   -12.496
      2.00       5.0     0.128    -1.990    -3.177    -1.911   -15.228    -9.246    -9.478
      3.00       5.0     0.035    -2.002    -2.613    -1.742   -10.536    -6.469    -6.506
      5.00       5.0     0.009    -2.036    -1.727    -1.074    -6.802    -4.079    -3.864
     10.00       5.0     0.002    -1.907    -0.477     0.299    -4.061    -1.726    -1.164
     30.00       5.0     0.000    -0.569     1.716     2.873    -2.367     1.202     2.291
        T9     RHOYE        UF     E+DEC     E-CAP      NEUE     E-DEC     E+CAP   NEUEBAR
      0.01       6.0     0.726    -1.986    -2.326    -1.620  -100.000  -100.000  -100.000
      0.10       6.0     0.725    -1.986    -2.326    -1.620  -100.000  -100.000  -100.000
      0.20       6.0     0.724    -1.986    -2.326    -1.619  -100.000   -81.385   -82.665
      0.40       6.0     0.718    -1.986    -2.324    -1.618   -71.628   -42.905   -43.878
      0.70       6.0     0.700    -1.986    -2.321    -1.613   -41.420   -25.991   -26.711
      1.00       6.0     0.672    -1.986    -2.317    -1.607   -29.336   -18.982   -19.539
      1.50       6.0     0.604    -1.987    -2.305    -1.594   -19.937   -13.265   -13.633
      2.00       6.0     0.512    -1.990    -2.286    -1.576   -15.238   -10.213   -10.444
      3.00       6.0     0.299    -1.998    -2.193    -1.497   -10.542    -6.912    -6.948
      5.00       6.0     0.091    -2.031    -1.648    -1.002    -6.806    -4.162    -3.946
     10.00       6.0     0.020    -1.906    -0.468     0.307    -4.062    -1.735    -1.173
     30.00       6.0     0.002    -0.569     1.717     2.874    -2.368     1.202     2.291
      0.01       7.0     1.223    -1.986    -1.279    -0.742  -100.000  -100.000  -100.000
      0.10       7.0     1.222    -1.986    -1.279    -0.741  -100.000  -100.000  -100.000
      0.20       7.0     1.222    -1.986    -1.278    -0.741  -100.000   -93.930   -95.209
      0.40       7.0     1.219    -1.986    -1.277    -0.739   -71.719   -49.222   -50.194
      0.70       7.0     1.212    -1.986    -1.274    -0.735   -41.509   -29.674   -30.395
      1.00       7.0     1.200    -1.986    -1.270    -0.727   -29.424   -21.645   -22.202
      1.50       7.0     1.173    -1.987    -1.258    -0.711   -20.023   -15.176   -15.544
      2.00       7.0     1.133    -1.990    -1.244    -0.688   -15.320   -11.778   -12.010
      3.00       7.0     1.021    -1.996    -1.206    -0.631   -10.614    -8.126    -8.160
      5.00       7.0     0.698    -2.012    -1.090    -0.463    -6.850    -4.774    -4.555
     10.00       7.0     0.196    -1.895    -0.384     0.392    -4.075    -1.824    -1.261
     30.00       7.0     0.021    -0.568     1.720     2.877    -2.369     1.199     2.288
      0.01       8.0     2.447    -1.986    -0.081     0.544  -100.000  -100.000  -100.000
      0.10       8.0     2.447    -1.986    -0.081     0.544  -100.000  -100.000  -100.000
      0.20       8.0     2.446    -1.986    -0.081     0.544  -100.000  -100.000  -100.000
      0.40       8.0     2.445    -1.986    -0.081     0.545   -72.484   -64.670   -65.642
      0.70       8.0     2.442    -1.986    -0.079     0.547   -42.265   -38.530   -39.250
      1.00       8.0     2.437    -1.986    -0.077     0.550   -30.166   -27.875   -28.426
      1.50       8.0     2.424    -1.987    -0.072     0.558   -20.733   -19.380   -19.716
      2.00       8.0     2.406    -1.990    -0.066     0.569   -15.992   -14.985   -15.161
      3.00       8.0     2.355    -1.996    -0.046     0.598   -11.203   -10.366   -10.341
      5.00       8.0     2.192    -2.006     0.008     0.684    -7.284    -6.279    -6.035
     10.00       8.0     1.493    -1.854     0.212     1.001    -4.246    -2.476    -1.912
     30.00       8.0     0.209    -0.563     1.750     2.908    -2.379     1.168     2.256
      0.01       9.0     5.180    -1.986     1.273     2.077  -100.000  -100.000  -100.000
      0.10       9.0     5.180    -1.986     1.273     2.077  -100.000  -100.000  -100.000
      0.20       9.0     5.180    -1.986     1.273     2.077  -100.000  -100.000  -100.000
      0.40       9.0     5.180    -1.986     1.273     2.077   -98.923   -99.124   -99.918
      0.70       9.0     5.178    -1.986     1.273     2.078   -58.081   -58.231   -58.591
      1.00       9.0     5.176    -1.986     1.274     2.079   -41.579   -41.679   -41.912
      1.50       9.0     5.170    -1.987     1.276     2.082   -28.591   -28.606   -28.705
      2.00       9.0     5.161    -1.990     1.280     2.086   -22.000   -21.929   -21.940
      3.00       9.0     5.138    -1.996     1.289     2.099   -15.286   -15.041   -14.933
      5.00       9.0     5.062    -2.006     1.314     2.135    -9.752    -9.172    -8.899
     10.00       9.0     4.708    -1.841     1.405     2.278    -5.417    -4.096    -3.528
     30.00       9.0     1.972    -0.522     2.032     3.195    -2.508     0.875     1.962
      0.01      10.0    11.118    -1.986     2.796     3.826  -100.000  -100.000  -100.000
      0.10      10.0    11.118    -1.986     2.796     3.826  -100.000  -100.000  -100.000
      0.20      10.0    11.118    -1.986     2.796     3.826  -100.000  -100.000  -100.000
      0.40      10.0    11.118    -1.986     2.796     3.826  -100.000  -100.000  -100.000
      0.70      10.0    11.117    -1.986     2.796     3.826  -100.000  -100.000  -100.000
      1.00      10.0    11.116    -1.986     2.796     3.827   -71.517   -71.617   -71.850
      1.50      10.0    11.113    -1.987     2.797     3.828   -48.561   -48.576   -48.675
      2.00      10.0    11.109    -1.990     2.799     3.830   -36.988   -36.917   -36.928
      3.00      10.0    11.098    -1.996     2.802     3.836   -25.300   -25.054   -24.946
      5.00      10.0    11.063    -2.006     2.812     3.849   -15.800   -15.221   -14.948
     10.00      10.0    10.898    -1.841     2.843     3.900    -8.512    -7.216    -6.647
     30.00      10.0     9.163    -0.477     3.076     4.289    -3.448    -0.329     0.756
      0.01      11.0    23.934    -1.986     4.404     5.722  -100.000  -100.000  -100.000
      0.10      11.0    23.934    -1.986     4.404     5.722  -100.000  -100.000  -100.000
      0.20      11.0    23.934    -1.986     4.404     5.722  -100.000  -100.000  -100.000
      0.40      11.0    23.934    -1.986     4.404     5.722  -100.000  -100.000  -100.000
      0.70      11.0    23.933    -1.986     4.404     5.722  -100.000  -100.000  -100.000
      1.00      11.0    23.933    -1.986     4.404     5.722  -100.000  -100.000  -100.000
      1.50      11.0    23.931    -1.987     4.404     5.722   -91.628   -91.642   -91.741
      2.00      11.0    23.930    -1.990     4.405     5.723   -69.294   -69.222   -69.233
      3.00      11.0    23.924    -1.996     4.406     5.725   -46.846   -46.601   -46.493
      5.00      11.0    23.908    -2.006     4.408     5.729   -28.747   -28.168   -27.895
     10.00      11.0    23.832    -1.841     4.416     5.743   -15.030   -13.734   -13.165
     30.00      11.0    23.015    -0.474     4.486     5.868    -5.750    -2.656    -1.571
 pos. daughter  O 18 z= 8 a=18 Q=  1.655
        T9     RHOYE        UF     E+DEC     E-CAP      NEUE     E-DEC     E+CAP   NEUEBAR
      0.01       1.0     0.508    -4.011    -7.272    -4.427  -100.000  -100.000  -100.000
      0.10       1.0     0.453    -4.011    -7.720    -4.427  -100.000   -88.207   -89.787
      0.20       1.0     0.377    -4.011    -7.821    -4.427   -57.102   -45.102   -46.375
      0.40       1.0     0.205    -4.011    -7.895    -4.427   -32.130   -22.822   -23.781
      0.70       1.0     0.008    -4.011    -7.289    -4.427   -21.427   -13.332   -14.032
      1.00       1.0     0.000    -4.011    -5.977    -4.406   -17.146   -10.285   -10.815
      1.50       1.0     0.000    -4.011    -4.787    -4.160   -13.747    -7.744    -8.080
      2.00       1.0     0.000    -4.001    -4.096    -3.687   -11.448    -6.327    -6.522
      3.00       1.0     0.000    -3.927    -3.268    -2.873    -8.428    -4.686    -4.681
      5.00       1.0     0.000    -3.735    -2.369    -1.878    -5.802    -2.990    -2.728
     10.00       1.0     0.000    -3.055    -1.095    -0.391    -3.221    -1.101    -0.494
     30.00       1.0     0.000    -0.964     1.384     2.528    -0.943     1.520     2.622
      0.01       2.0     0.510    -4.011    -6.292    -4.418  -100.000  -100.000  -100.000
      0.10       2.0     0.473    -4.011    -6.720    -4.424  -100.000   -89.208   -90.788
      0.20       2.0     0.416    -4.011    -6.821    -4.425   -57.103   -46.103   -47.375
      0.40       2.0     0.284    -4.011    -6.895    -4.425   -32.130   -23.823   -24.781
      0.70       2.0     0.065    -4.011    -6.876    -4.425   -21.427   -13.745   -14.445
      1.00       2.0     0.005    -4.011    -5.955    -4.405   -17.146   -10.307   -10.837
      1.50       2.0     0.000    -4.011    -4.785    -4.160   -13.747    -7.746    -8.081
      2.00       2.0     0.000    -4.001    -4.095    -3.687   -11.448    -6.327    -6.522
      3.00       2.0     0.000    -3.927    -3.268    -2.873    -8.428    -4.686    -4.681
      5.00       2.0     0.000    -3.735    -2.369    -1.878    -5.802    -2.990    -2.728
     10.00       2.0     0.000    -3.055    -1.095    -0.391    -3.221    -1.101    -0.494
     30.00       2.0     0.000    -0.964     1.384     2.528    -0.943     1.520     2.622
      0.01       3.0     0.513    -4.011    -5.420    -4.360  -100.000  -100.000  -100.000
      0.10       3.0     0.493    -4.011    -5.725    -4.393  -100.000   -90.225   -91.805
      0.20       3.0     0.456    -4.011    -5.823    -4.399   -57.104   -47.109   -48.381
      0.40       3.0     0.364    -4.011    -5.896    -4.403   -32.131   -24.824   -25.783
      0.70       3.0     0.197    -4.011    -5.929    -4.404   -21.427   -14.694   -15.393
      1.00       3.0     0.046    -4.011    -5.749    -4.392   -17.146   -10.513   -11.043
      1.50       3.0     0.005    -4.011    -4.771    -4.153   -13.747    -7.760    -8.095
      2.00       3.0     0.001    -4.001    -4.092    -3.684   -11.448    -6.331    -6.525
      3.00       3.0     0.000    -3.927    -3.267    -2.873    -8.428    -4.687    -4.681
      5.00       3.0     0.000    -3.735    -2.369    -1.878    -5.802    -2.990    -2.728
     10.00       3.0     0.000    -3.055    -1.095    -0.391    -3.221    -1.101    -0.494
     30.00       3.0     0.000    -0.964     1.384     2.528    -0.943     1.520     2.622
      0.01       4.0     0.523    -4.011    -4.684    -4.144  -100.000  -100.000  -100.000
      0.10       4.0     0.516    -4.011    -4.766    -4.181  -100.000   -91.385   -92.965
      0.20       4.0     0.498    -4.011    -4.836    -4.208   -57.116   -48.163   -49.436
      0.40       4.0     0.444    -4.011    -4.899    -4.230   -32.139   -25.842   -26.801
      0.70       4.0     0.337    -4.011    -4.930    -4.237   -21.433   -15.700   -16.399
      1.00       4.0     0.209    -4.011    -4.931    -4.232   -17.150   -11.335   -11.865
      1.50       4.0     0.047    -4.010    -4.630    -4.082   -13.749    -7.902    -8.237
      2.00       4.0     0.014    -4.000    -4.061    -3.659   -11.449    -6.362    -6.557
      3.00       4.0     0.004    -3.927    -3.262    -2.868    -8.428    -4.692    -4.687
      5.00       4.0     0.001    -3.735    -2.368    -1.877    -5.802    -2.990    -2.729
     10.00       4.0     0.000    -3.055    -1.095    -0.390    -3.221    -1.101    -0.494
     30.00       4.0     0.000    -0.964     1.384     2.528    -0.943     1.520     2.622
      0.01       5.0     0.564    -4.011    -3.889    -3.593  -100.000  -100.000  -100.000
      0.10       5.0     0.563    -4.011    -3.892    -3.596  -100.000   -93.734   -95.314
      0.20       5.0     0.558    -4.011    -3.901    -3.602   -57.215   -49.666   -50.939
      0.40       5.0     0.537    -4.011    -3.921    -3.614   -32.220   -27.013   -27.972
      0.70       5.0     0.485    -4.011    -3.936    -3.617   -21.491   -16.766   -17.465
      1.00       5.0     0.413    -4.011    -3.936    -3.605   -17.192   -12.366   -12.897
      1.50       5.0     0.265    -4.009    -3.911    -3.561   -13.771    -8.636    -8.971
      2.00       5.0     0.128    -3.998    -3.778    -3.416   -11.456    -6.651    -6.845
      3.00       5.0     0.035    -3.925    -3.210    -2.818    -8.430    -4.746    -4.740
      5.00       5.0     0.009    -3.734    -2.360    -1.869    -5.802    -2.999    -2.737
     10.00       5.0     0.002    -3.055    -1.094    -0.390    -3.221    -1.102    -0.495
     30.00       5.0     0.000    -0.964     1.384     2.528    -0.943     1.520     2.622
        T9     RHOYE        UF     E+DEC     E-CAP      NEUE     E-DEC     E+CAP   NEUEBAR
      0.01       6.0     0.726    -4.011    -2.958    -2.697  -100.000  -100.000  -100.000
      0.10       6.0     0.725    -4.011    -2.958    -2.697  -100.000  -100.000  -100.000
      0.20       6.0     0.724    -4.011    -2.957    -2.695   -58.092   -53.849   -55.121
      0.40       6.0     0.718    -4.011    -2.954    -2.689   -32.950   -29.287   -30.246
      0.70       6.0     0.700    -4.011    -2.945    -2.673   -22.017   -18.316   -19.015
      1.00       6.0     0.672    -4.011    -2.934    -2.652   -17.579   -13.670   -14.200
      1.50       6.0     0.604    -4.009    -2.910    -2.607   -13.991    -9.773   -10.108
      2.00       6.0     0.512    -3.995    -2.881    -2.554   -11.545    -7.617    -7.812
      3.00       6.0     0.299    -3.914    -2.787    -2.404    -8.459    -5.188    -5.182
      5.00       6.0     0.091    -3.727    -2.280    -1.789    -5.809    -3.081    -2.819
     10.00       6.0     0.020    -3.054    -1.086    -0.381    -3.222    -1.111    -0.504
     30.00       6.0     0.002    -0.964     1.384     2.529    -0.943     1.519     2.622
      0.01       7.0     1.223    -4.011    -1.855    -1.521  -100.000  -100.000  -100.000
      0.10       7.0     1.222    -4.011    -1.855    -1.521  -100.000  -100.000  -100.000
      0.20       7.0     1.222    -4.011    -1.854    -1.520   -69.463   -66.393   -67.666
      0.40       7.0     1.219    -4.011    -1.852    -1.517   -38.791   -35.604   -36.562
      0.70       7.0     1.212    -4.011    -1.847    -1.509   -25.381   -22.000   -22.699
      1.00       7.0     1.200    -4.011    -1.840    -1.497   -19.918   -16.332   -16.863
      1.50       7.0     1.173    -4.009    -1.823    -1.468   -15.250   -11.684   -12.019
      2.00       7.0     1.133    -3.995    -1.806    -1.435   -12.162    -9.183    -9.377
      3.00       7.0     1.021    -3.908    -1.778    -1.369    -8.739    -6.402    -6.395
      5.00       7.0     0.698    -3.701    -1.714    -1.214    -5.899    -3.691    -3.429
     10.00       7.0     0.196    -3.044    -1.000    -0.295    -3.228    -1.199    -0.591
     30.00       7.0     0.021    -0.964     1.387     2.532    -0.944     1.516     2.619
      0.01       8.0     2.447    -4.011    -0.562    -0.067  -100.000  -100.000  -100.000
      0.10       8.0     2.447    -4.011    -0.562    -0.066  -100.000  -100.000  -100.000
      0.20       8.0     2.446    -4.011    -0.562    -0.066  -100.000   -97.254   -98.526
      0.40       8.0     2.445    -4.011    -0.561    -0.065   -54.239   -51.052   -52.010
      0.70       8.0     2.442    -4.011    -0.559    -0.062   -33.796   -30.856   -31.554
      1.00       8.0     2.437    -4.011    -0.557    -0.058   -24.584   -22.562   -23.085
      1.50       8.0     2.424    -4.009    -0.551    -0.047   -17.236   -15.888   -16.196
      2.00       8.0     2.406    -3.995    -0.546    -0.037   -13.512   -12.390   -12.548
      3.00       8.0     2.355    -3.907    -0.549    -0.023    -9.701    -8.642    -8.606
      5.00       8.0     2.192    -3.692    -0.567     0.002    -6.498    -5.196    -4.923
     10.00       8.0     1.493    -3.004    -0.393     0.326    -3.310    -1.848    -1.235
     30.00       8.0     0.209    -0.958     1.418     2.563    -0.950     1.485     2.588
      0.01       9.0     5.180    -4.011     0.888     1.618  -100.000  -100.000  -100.000
      0.10       9.0     5.180    -4.011     0.888     1.618  -100.000  -100.000  -100.000
      0.20       9.0     5.180    -4.011     0.888     1.618  -100.000  -100.000  -100.000
      0.40       9.0     5.180    -4.011     0.888     1.618   -85.483   -85.506   -86.170
      0.70       9.0     5.178    -4.011     0.889     1.619   -50.616   -50.556   -51.011
      1.00       9.0     5.176    -4.011     0.890     1.621   -36.505   -36.367   -36.693
      1.50       9.0     5.170    -4.009     0.891     1.623   -25.377   -25.114   -25.297
      2.00       9.0     5.161    -3.995     0.891     1.624   -19.711   -19.333   -19.414
      3.00       9.0     5.138    -3.907     0.877     1.613   -13.823   -13.317   -13.221
      5.00       9.0     5.062    -3.692     0.827     1.571    -8.398    -8.089    -7.682
     10.00       9.0     4.708    -2.991     0.850     1.659    -3.883    -3.467    -2.776
     30.00       9.0     1.972    -0.920     1.701     2.851    -1.031     1.193     2.294
      0.01      10.0    11.118    -4.011     2.449     3.456  -100.000  -100.000  -100.000
      0.10      10.0    11.118    -4.011     2.449     3.456  -100.000  -100.000  -100.000
      0.20      10.0    11.118    -4.011     2.449     3.456  -100.000  -100.000  -100.000
      0.40      10.0    11.118    -4.011     2.449     3.456  -100.000  -100.000  -100.000
      0.70      10.0    11.117    -4.011     2.449     3.456   -92.286   -93.316   -92.992
      1.00      10.0    11.116    -4.011     2.449     3.457   -65.341   -66.305   -65.886
      1.50      10.0    11.113    -4.009     2.449     3.457   -44.220   -45.083   -44.578
      2.00      10.0    11.109    -3.995     2.448     3.456   -33.544   -34.322   -33.765
      3.00      10.0    11.098    -3.907     2.433     3.440   -22.666   -23.330   -22.685
      5.00      10.0    11.063    -3.692     2.386     3.388   -13.594   -14.139   -13.363
     10.00      10.0    10.898    -2.990     2.360     3.372    -6.489    -6.587    -5.775
     30.00      10.0     9.163    -0.877     2.754     3.952    -1.757    -0.010     1.090
      0.01      11.0    23.934    -4.011     4.072     5.381  -100.000  -100.000  -100.000
      0.10      11.0    23.934    -4.011     4.072     5.381  -100.000  -100.000  -100.000
      0.20      11.0    23.934    -4.011     4.072     5.381  -100.000  -100.000  -100.000
      0.40      11.0    23.934    -4.011     4.072     5.381  -100.000  -100.000  -100.000
      0.70      11.0    23.933    -4.011     4.072     5.381  -100.000  -100.000  -100.000
      1.00      11.0    23.933    -4.011     4.072     5.381  -100.000  -100.000  -100.000
      1.50      11.0    23.931    -4.009     4.072     5.381   -87.053   -88.150   -87.436
      2.00      11.0    23.930    -3.995     4.071     5.379   -65.618   -66.627   -65.869
      3.00      11.0    23.924    -3.907     4.062     5.368   -44.008   -44.877   -44.069
      5.00      11.0    23.908    -3.692     4.032     5.331   -26.414   -27.085   -26.226
     10.00      11.0    23.832    -2.990     4.009     5.303   -12.947   -13.105   -12.272
     30.00      11.0    23.015    -0.874     4.192     5.557    -3.980    -2.337    -1.236
 pos. daughter  F 18 z= 9 a=18 Q=  4.446
        T9     RHOYE        UF     E+DEC     E-CAP      NEUE     E-DEC     E+CAP   NEUEBAR
      0.01       1.0     0.508    -0.398    -5.788    -0.133  -100.000  -100.000  -100.000
      0.10       1.0     0.453    -0.398    -6.248    -0.133  -100.000  -100.000  -100.000
      0.20       1.0     0.377    -0.398    -6.359    -0.133  -100.000  -100.000  -100.000
      0.40       1.0     0.205    -0.398    -6.447    -0.133   -83.789   -57.312   -58.290
      0.70       1.0     0.008    -0.398    -5.859    -0.133   -49.928   -32.796   -33.524
      1.00       1.0     0.000    -0.398    -4.564    -0.133   -36.383   -23.760   -24.328
      1.50       1.0     0.000    -0.399    -3.402    -0.132   -25.840   -16.591   -16.974
      2.00       1.0     0.000    -0.399    -2.735    -0.129   -20.534   -12.888   -13.139
      3.00       1.0     0.000    -0.400    -1.935    -0.104   -15.109    -9.040    -9.099
      5.00       1.0     0.000    -0.404    -1.050     0.086   -10.506    -5.756    -5.570
     10.00       1.0     0.000    -0.358     0.074     0.980    -5.909    -2.759    -2.229
     30.00       1.0     0.000     0.301     2.076     3.261    -2.504     0.781     1.854
      0.01       2.0     0.510    -0.398    -4.809    -0.133  -100.000  -100.000  -100.000
      0.10       2.0     0.473    -0.398    -5.249    -0.133  -100.000  -100.000  -100.000
      0.20       2.0     0.416    -0.398    -5.359    -0.133  -100.000  -100.000  -100.000
      0.40       2.0     0.284    -0.398    -5.447    -0.133   -83.789   -58.312   -59.290
      0.70       2.0     0.065    -0.398    -5.446    -0.133   -49.928   -33.209   -33.937
      1.00       2.0     0.005    -0.398    -4.542    -0.133   -36.383   -23.782   -24.350
      1.50       2.0     0.000    -0.399    -3.401    -0.132   -25.840   -16.592   -16.976
      2.00       2.0     0.000    -0.399    -2.735    -0.129   -20.534   -12.889   -13.139
      3.00       2.0     0.000    -0.400    -1.935    -0.104   -15.109    -9.040    -9.099
      5.00       2.0     0.000    -0.404    -1.050     0.086   -10.506    -5.756    -5.570
     10.00       2.0     0.000    -0.358     0.074     0.980    -5.909    -2.759    -2.229
     30.00       2.0     0.000     0.301     2.076     3.261    -2.504     0.781     1.854
      0.01       3.0     0.513    -0.398    -3.938    -0.133  -100.000  -100.000  -100.000
      0.10       3.0     0.493    -0.398    -4.254    -0.133  -100.000  -100.000  -100.000
      0.20       3.0     0.456    -0.398    -4.361    -0.133  -100.000  -100.000  -100.000
      0.40       3.0     0.364    -0.398    -4.448    -0.133   -83.789   -59.314   -60.291
      0.70       3.0     0.197    -0.398    -4.499    -0.133   -49.928   -34.157   -34.886
      1.00       3.0     0.046    -0.398    -4.337    -0.133   -36.383   -23.988   -24.556
      1.50       3.0     0.005    -0.399    -3.386    -0.132   -25.840   -16.607   -16.990
      2.00       3.0     0.001    -0.399    -2.732    -0.129   -20.534   -12.892   -13.142
      3.00       3.0     0.000    -0.400    -1.934    -0.104   -15.109    -9.040    -9.100
      5.00       3.0     0.000    -0.404    -1.050     0.086   -10.506    -5.757    -5.571
     10.00       3.0     0.000    -0.358     0.074     0.980    -5.909    -2.759    -2.229
     30.00       3.0     0.000     0.301     2.076     3.261    -2.504     0.781     1.854
      0.01       4.0     0.523    -0.398    -3.209    -0.132  -100.000  -100.000  -100.000
      0.10       4.0     0.516    -0.398    -3.298    -0.132  -100.000  -100.000  -100.000
      0.20       4.0     0.498    -0.398    -3.375    -0.132  -100.000  -100.000  -100.000
      0.40       4.0     0.444    -0.398    -3.452    -0.132   -83.790   -60.332   -61.309
      0.70       4.0     0.337    -0.398    -3.501    -0.132   -49.928   -35.163   -35.892
      1.00       4.0     0.209    -0.398    -3.518    -0.132   -36.383   -24.809   -25.378
      1.50       4.0     0.047    -0.399    -3.245    -0.132   -25.840   -16.748   -17.132
      2.00       4.0     0.014    -0.399    -2.701    -0.128   -20.534   -12.923   -13.174
      3.00       4.0     0.004    -0.400    -1.929    -0.103   -15.109    -9.045    -9.105
      5.00       4.0     0.001    -0.403    -1.049     0.087   -10.506    -5.757    -5.571
     10.00       4.0     0.000    -0.358     0.074     0.980    -5.909    -2.759    -2.229
     30.00       4.0     0.000     0.301     2.076     3.261    -2.504     0.781     1.854
      0.01       5.0     0.564    -0.398    -2.434    -0.124  -100.000  -100.000  -100.000
      0.10       5.0     0.563    -0.398    -2.438    -0.124  -100.000  -100.000  -100.000
      0.20       5.0     0.558    -0.398    -2.451    -0.124  -100.000  -100.000  -100.000
      0.40       5.0     0.537    -0.398    -2.480    -0.125   -83.794   -61.503   -62.480
      0.70       5.0     0.485    -0.398    -2.510    -0.125   -49.932   -36.230   -36.958
      1.00       5.0     0.413    -0.398    -2.526    -0.126   -36.387   -25.841   -26.409
      1.50       5.0     0.265    -0.398    -2.527    -0.126   -25.843   -17.482   -17.866
      2.00       5.0     0.128    -0.399    -2.418    -0.123   -20.536   -13.212   -13.462
      3.00       5.0     0.035    -0.400    -1.877    -0.099   -15.111    -9.099    -9.159
      5.00       5.0     0.009    -0.403    -1.042     0.090   -10.506    -5.766    -5.580
     10.00       5.0     0.002    -0.358     0.075     0.981    -5.909    -2.760    -2.230
     30.00       5.0     0.000     0.301     2.076     3.261    -2.504     0.781     1.854
