!48ca -> 48sc, beta-decay
!Q=-0.789 MeV
!
!Log(rhoY)    Log(temp)     mu             dQ    VS     Log(beta-decay-rate)    Log(nu-energy-loss)  Log(gamma-energy)
!Log(g/cm^3)  Log(K)        erg            erg   erg    Log(1/s)                Log(erg/s)           Log(erg/s)
1.000000      7.000000      -4.806530e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
1.000000      8.000000      -9.292624e-08  0.00  0.00   -98.093567             -1.054753e+02         -100.00
1.000000      8.301030      -2.146917e-07  0.00  0.00   -50.372000             -5.744129e+01         -100.00
1.000000      8.602060      -4.902661e-07  0.00  0.00   -25.781000             -3.253929e+01         -100.00
1.000000      8.845098      -8.058948e-07  0.00  0.00   -15.287000             -2.178729e+01         -100.00
1.000000      9.000000      -8.187123e-07  0.00  0.00   -11.823000             -1.815629e+01         -100.00
1.000000      9.176091      -8.187123e-07  0.00  0.00   -8.945000              -1.508529e+01         -100.00
1.000000      9.301030      -8.187123e-07  0.00  0.00   -7.353989              -1.335529e+01         -100.00
1.000000      9.477121      -8.187123e-07  0.00  0.00   -5.539374              -1.134229e+01         -100.00
1.000000      9.698970      -8.187123e-07  0.00  0.00   -3.703619              -9.242290e+00         -100.00
1.000000      10.000000     -8.187123e-07  0.00  0.00   -1.360270              -6.543290e+00         -100.00
1.000000      10.477121     -8.187123e-07  0.00  0.00   0.517166               -4.143290e+00         -100.00
1.000000      11.000000     -8.187123e-07  0.00  0.00   2.524368               -1.615290e+00         -100.00
2.000000      7.000000      -1.602177e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
2.000000      8.000000      -6.088271e-08  0.00  0.00   -99.048391             -1.057943e+02         -100.00
2.000000      8.301030      -1.522068e-07  0.00  0.00   -51.372000             -5.844229e+01         -100.00
2.000000      8.602060      -3.636941e-07  0.00  0.00   -26.781000             -3.353929e+01         -100.00
2.000000      8.845098      -7.145708e-07  0.00  0.00   -15.700000             -2.220029e+01         -100.00
2.000000      9.000000      -8.107014e-07  0.00  0.00   -11.845000             -1.817829e+01         -100.00
2.000000      9.176091      -8.187123e-07  0.00  0.00   -8.947000              -1.508729e+01         -100.00
2.000000      9.301030      -8.187123e-07  0.00  0.00   -7.353989              -1.335529e+01         -100.00
2.000000      9.477121      -8.187123e-07  0.00  0.00   -5.539374              -1.134229e+01         -100.00
2.000000      9.698970      -8.187123e-07  0.00  0.00   -3.703619              -9.242290e+00         -100.00
2.000000      10.000000     -8.187123e-07  0.00  0.00   -1.360270              -6.543290e+00         -100.00
2.000000      10.477121     -8.187123e-07  0.00  0.00   0.517166               -4.143290e+00         -100.00
2.000000      11.000000     -8.187123e-07  0.00  0.00   2.524368               -1.615290e+00         -100.00
3.000000      7.000000       3.204353e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.000000      -2.883918e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
3.000000      8.301030      -8.811971e-08  0.00  0.00   -52.378000             -5.944729e+01         -100.00
3.000000      8.602060      -2.355200e-07  0.00  0.00   -27.783000             -3.454129e+01         -100.00
3.000000      8.845098      -5.030835e-07  0.00  0.00   -16.648000             -2.314829e+01         -100.00
3.000000      9.000000      -7.450121e-07  0.00  0.00   -12.051000             -1.838429e+01         -100.00
3.000000      9.176091      -8.107014e-07  0.00  0.00   -8.961000              -1.510129e+01         -100.00
3.000000      9.301030      -8.171101e-07  0.00  0.00   -7.357988              -1.335829e+01         -100.00
3.000000      9.477121      -8.187123e-07  0.00  0.00   -5.540373              -1.134329e+01         -100.00
3.000000      9.698970      -8.187123e-07  0.00  0.00   -3.703619              -9.242290e+00         -100.00
3.000000      10.000000     -8.187123e-07  0.00  0.00   -1.360270              -6.543290e+00         -100.00
3.000000      10.477121     -8.187123e-07  0.00  0.00   0.517166               -4.143290e+00         -100.00
3.000000      11.000000     -8.187123e-07  0.00  0.00   2.524368               -1.615290e+00         -100.00
4.000000      7.000000       1.922612e-08  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.000000       8.010883e-09  0.00  0.00   -99.697970             -1.057943e+02         -100.00
4.000000      8.301030      -2.082830e-08  0.00  0.00   -53.433000             -6.050229e+01         -100.00
4.000000      8.602060      -1.073458e-07  0.00  0.00   -28.801000             -3.555929e+01         -100.00
