!57v -> 57ti, e- capture
!Q=-43.511 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -85.170000      -91.703290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -60.493000      -66.868290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -41.087000      -47.283290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -31.268000      -37.336290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -21.278994      -27.165290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00      -12.860439      -18.455290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -5.365240      -10.410290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        0.646576       -4.138290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.523893        0.395710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -84.757000      -91.290290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -60.471000      -66.847290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -41.085000      -47.282290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -31.267000      -37.336290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -21.278994      -27.165290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00      -12.860439      -18.455290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -5.365240      -10.410290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        0.646576       -4.138290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.523893        0.395710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -83.809000      -90.342290             -100.00  
