!58ti -> 58v, beta-decay
!Q=-30.79 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00        0.239000            -4.920290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00        0.239000            -4.920290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00        0.239004            -4.920290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00        0.242020            -4.916290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00        0.370121            -4.763290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00        1.205613            -3.873290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        2.113923            -2.949290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.817843            -1.856290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        5.036225             0.895710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00        0.239000            -4.920290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00        0.239000            -4.920290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00        0.239004            -4.920290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00        0.242020            -4.916290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00        0.370121            -4.763290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00        1.205613            -3.873290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        2.113923            -2.949290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.817843            -1.856290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        5.036225             0.895710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00        0.239000            -4.920290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00        0.239000            -4.920290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00        0.239000            -4.920290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       3.000000        9.000000   -7.450121e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       3.000000        9.176091   -8.107014e-07            0.00            0.00        0.239004            -4.920290             -100.00  
       3.000000        9.301030   -8.171101e-07            0.00            0.00        0.242020            -4.916290             -100.00  
       3.000000        9.477121   -8.187123e-07            0.00            0.00        0.370121            -4.763290             -100.00  
       3.000000        9.698970   -8.187123e-07            0.00            0.00        1.205613            -3.873290             -100.00  
       3.000000       10.000000   -8.187123e-07            0.00            0.00        2.113923            -2.949290             -100.00  
       3.000000       10.477121   -8.187123e-07            0.00            0.00        2.817843            -1.856290             -100.00  
       3.000000       11.000000   -8.187123e-07            0.00            0.00        5.036225             0.895710             -100.00  
       4.000000        7.000000    1.922612e-08            0.00            0.00        0.239000            -4.920290             -100.00  
       4.000000        8.000000    8.010883e-09            0.00            0.00        0.239000            -4.920290             -100.00  
       4.000000        8.301030   -2.082830e-08            0.00            0.00        0.239000            -4.920290             -100.00  
       4.000000        8.602060   -1.073458e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       4.000000        8.845098   -2.787787e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       4.000000        9.000000   -4.838573e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       4.000000        9.176091   -7.434100e-07            0.00            0.00        0.239003            -4.920290             -100.00  
       4.000000        9.301030   -7.962818e-07            0.00            0.00        0.242018            -4.916290             -100.00  
       4.000000        9.477121   -8.123036e-07            0.00            0.00        0.370119            -4.763290             -100.00  
       4.000000        9.698970   -8.171101e-07            0.00            0.00        1.205612            -3.873290             -100.00  
       4.000000       10.000000   -8.187123e-07            0.00            0.00        2.113923            -2.949290             -100.00  
       4.000000       10.477121   -8.187123e-07            0.00            0.00        2.817843            -1.856290             -100.00  
       4.000000       11.000000   -8.187123e-07            0.00            0.00        5.036225             0.895710             -100.00  
       5.000000        7.000000    8.491536e-08            0.00            0.00        0.239000            -4.920290             -100.00  
       5.000000        8.000000    8.331318e-08            0.00            0.00        0.239000            -4.920290             -100.00  
       5.000000        8.301030    7.530230e-08            0.00            0.00        0.239000            -4.920290             -100.00  
       5.000000        8.602060    4.165659e-08            0.00            0.00        0.239000            -4.920290             -100.00  
       5.000000        8.845098   -4.165659e-08            0.00            0.00        0.239000            -4.920290             -100.00  
       5.000000        9.000000   -1.570133e-07            0.00            0.00        0.239000            -4.920290             -100.00  
       5.000000        9.176091   -3.941355e-07            0.00            0.00        0.239001            -4.920290             -100.00  
       5.000000        9.301030   -6.136337e-07            0.00            0.00        0.242010            -4.916290             -100.00  
       5.000000        9.477121   -7.626361e-07            0.00            0.00        0.370106            -4.763290             -100.00  
       5.000000        9.698970   -8.042927e-07            0.00            0.00        1.205602            -3.873290             -100.00  
       5.000000       10.000000   -8.155079e-07            0.00            0.00        2.113908            -2.949290             -100.00  
       5.000000       10.477121   -8.187123e-07            0.00            0.00        2.817843            -1.856290             -100.00  
       5.000000       11.000000   -8.187123e-07            0.00            0.00        5.036225             0.895710             -100.00  
       6.000000        7.000000    3.444680e-07            0.00            0.00        0.238000            -4.922290             -100.00  
       6.000000        8.000000    3.428658e-07            0.00            0.00        0.238000            -4.922290             -100.00  
       6.000000        8.301030    3.412636e-07            0.00            0.00        0.238000            -4.922290             -100.00  
       6.000000        8.602060    3.300484e-07            0.00            0.00        0.238000            -4.922290             -100.00  
       6.000000        8.845098    3.028114e-07            0.00            0.00        0.238000            -4.922290             -100.00  
       6.000000        9.000000    2.579504e-07            0.00            0.00        0.238000            -4.922290             -100.00  
       6.000000        9.176091    1.490024e-07            0.00            0.00        0.238000            -4.922290             -100.00  
       6.000000        9.301030    1.602177e-09            0.00            0.00        0.241001            -4.918290             -100.00  
       6.000000        9.477121   -3.396614e-07            0.00            0.00        0.370039            -4.764290             -100.00  
       6.000000        9.698970   -6.729142e-07            0.00            0.00        1.205501            -3.873290             -100.00  
       6.000000       10.000000   -7.866687e-07            0.00            0.00        2.113767            -2.950290             -100.00  
       6.000000       10.477121   -8.155079e-07            0.00            0.00        2.817843            -1.856290             -100.00  
       6.000000       11.000000   -8.187123e-07            0.00            0.00        5.036225             0.895710             -100.00  
