!34si -> 34p, beta-decay
!Q=-19.85 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.582000            -6.130290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.582000            -6.130290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.582000            -6.130290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.582000            -6.130290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.582000            -6.130290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.582994            -6.130290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.582894            -6.130290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.582457            -6.130290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -0.581129            -6.123290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -0.559218            -6.035290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -0.280090            -5.398290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        1.789062            -2.911290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.695976             0.535710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.583000            -6.130290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.582000            -6.130290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.582000            -6.130290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.582000            -6.130290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.582000            -6.130290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.582994            -6.130290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.582894            -6.130290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -0.582457            -6.130290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -0.581129            -6.123290             -100.00  
