!60cr -> 60v, e- capture
!Q=-46.46 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00      -78.592000      -84.969290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00      -52.921000      -59.119290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00      -39.947000      -46.018290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00      -26.792000      -32.682290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00      -16.031708      -21.690290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00       -7.333616      -12.643290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        0.117993       -4.551290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.801222        0.715710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00      -78.570000      -84.947290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00      -52.920000      -59.118290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00      -39.947000      -46.017290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00      -26.792000      -32.682290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00      -16.031708      -21.690290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00       -7.333616      -12.643290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        0.117993       -4.551290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.801222        0.715710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.301030   -8.811971e-08            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.602060   -2.355200e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
       3.000000        8.845098   -5.030835e-07            0.00            0.00      -99.697970     -105.794290             -100.00  
