!75zn -> 75cu, e- capture
!Q=8.089 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0              -77.756   -84.35528960626502               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -67.349   -73.88128960626501               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0              -59.389   -65.86128960626502               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0              -53.153   -59.57728960626501               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0              -48.141   -54.51628960626501               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0              -32.949  -39.143289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0              -25.202  -31.268289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0              -17.231  -23.114289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0               -13.07  -18.821289606265015               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -10.462932274776293  -16.112289606265016               -100.0
