!71se -> 71br, beta-decay
!Q=6.645 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0              -83.848   -90.62328960626502               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0              -67.071   -73.74928960626501               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0              -55.957   -62.55528960626501               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -48.376  -54.905289606265015               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0              -23.876  -29.815289606265015               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0              -21.779  -27.705289606265016               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0              -20.096  -26.006289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0               -14.92  -20.752289606265016               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0              -12.183  -17.942289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0               -9.202  -14.834289606265013               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0               -7.518  -13.047289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0               -6.388  -11.831289606265013               -100.0
