!39ca -> 39k, e- capture
!Q=-27.282 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000   -4.806530e-09            0.00            0.00       -0.068999       -5.396290             -100.00  
       1.000000        8.000000   -9.292624e-08            0.00            0.00       -0.069000       -5.396290             -100.00  
       1.000000        8.301030   -2.146917e-07            0.00            0.00       -0.069000       -5.396290             -100.00  
       1.000000        8.602060   -4.902661e-07            0.00            0.00       -0.069000       -5.396290             -100.00  
       1.000000        8.845098   -8.058948e-07            0.00            0.00       -0.068999       -5.396290             -100.00  
       1.000000        9.000000   -8.187123e-07            0.00            0.00       -0.068988       -5.396290             -100.00  
       1.000000        9.176091   -8.187123e-07            0.00            0.00       -0.068831       -5.395290             -100.00  
       1.000000        9.301030   -8.187123e-07            0.00            0.00       -0.068251       -5.394290             -100.00  
       1.000000        9.477121   -8.187123e-07            0.00            0.00       -0.065548       -5.386290             -100.00  
       1.000000        9.698970   -8.187123e-07            0.00            0.00       -0.042175       -5.327290             -100.00  
       1.000000       10.000000   -8.187123e-07            0.00            0.00        0.225671       -4.805290             -100.00  
       1.000000       10.477121   -8.187123e-07            0.00            0.00        2.112491       -2.492290             -100.00  
       1.000000       11.000000   -8.187123e-07            0.00            0.00        4.794496        0.679710             -100.00  
       2.000000        7.000000   -1.602177e-09            0.00            0.00       -0.068990       -5.396290             -100.00  
       2.000000        8.000000   -6.088271e-08            0.00            0.00       -0.068997       -5.396290             -100.00  
       2.000000        8.301030   -1.522068e-07            0.00            0.00       -0.068998       -5.396290             -100.00  
       2.000000        8.602060   -3.636941e-07            0.00            0.00       -0.068998       -5.396290             -100.00  
       2.000000        8.845098   -7.145708e-07            0.00            0.00       -0.068998       -5.396290             -100.00  
       2.000000        9.000000   -8.107014e-07            0.00            0.00       -0.068987       -5.396290             -100.00  
       2.000000        9.176091   -8.187123e-07            0.00            0.00       -0.068830       -5.395290             -100.00  
       2.000000        9.301030   -8.187123e-07            0.00            0.00       -0.068249       -5.394290             -100.00  
       2.000000        9.477121   -8.187123e-07            0.00            0.00       -0.065548       -5.386290             -100.00  
       2.000000        9.698970   -8.187123e-07            0.00            0.00       -0.042175       -5.327290             -100.00  
       2.000000       10.000000   -8.187123e-07            0.00            0.00        0.225671       -4.805290             -100.00  
       2.000000       10.477121   -8.187123e-07            0.00            0.00        2.112491       -2.492290             -100.00  
       2.000000       11.000000   -8.187123e-07            0.00            0.00        4.794496        0.679710             -100.00  
       3.000000        7.000000    4.806530e-09            0.00            0.00       -0.068918       -5.395290             -100.00  
       3.000000        8.000000   -2.883918e-08            0.00            0.00       -0.068966       -5.395290             -100.00  
